12:01:02.0	POWER
12:02:00.0	TOG 1
12:02:04.0	TOG 2
12:02:06.0	POWER
12:02:07.0	POWER
12:02:08.0	EVENT PARIND
12:02:09.0	TRIG 1
12:02:11.0	TOG 1
12:02:12.0	TOG 2
12:02:20.0	NUM 456
12:02:25.0	NUM 789
12:02:40.0	TRIG 3
12:02:42.0	TOG 3
12:02:44.0	TOG 4
12:02:45.0	TRIG 3
12:02:52.0	TRIG 1
12:03:35.5	TRIG 4
12:03:55.3	TRIG 2
12:06:10.0	NEWRUN
12:04:50.0	PRINT
12:06:00.0	ENDRUN
12:06:10.0	NEWRUN
13:01:00.0	EVENT GRP
13:02:10.0	TRIG 1
13:04:31.0	TRIG 2
13:04:32.0	TRIG 2
13:05:00.0	TRIG 2
13:05:02.4	TRIG 2
13:05:15.2	PRINT
13:05:17.0	NUM 123
13:05:18.0	ENDRUN
13:05:20.0	NUM 234
13:05:21.0	NUM 345
13:05:22.0	PRINT
13:05:23.0	NUM 456
13:05:24.0	NUM 567
13:05:25.0	PRINT
13:35:52.0	POWER
13:35:55.0	EXIT
