12:01:02.0	POWER
12:01:20.0	EVENT GRP
12:02:00.0	TOG 1
12:02:02.0	TOG 2
12:02:03.0	START
12:02:10.0	NUM 234
12:02:25.0	FINISH
12:02:50.0	FINISH
12:02:52.0	TRIG 2
12:03:35.0	TRIG 2
12:03:55.0	TRIG 2
12:04:50.0	PRINT
12:06:00.0	ENDRUN
12:06:10.0	NUM 765
12:06:12.0	NUM 876
12:06:13.0	NUM 321
12:06:15.0	NUM 321
12:06:18.0	PRINT
12:56:15.0	NEWRUN
13:01:00.0	EVENT IND
13:02:10.0	NUM 167
13:02:15.0	NUM 166
13:02:20.0	NUM 200
13:02:25.0	NUM 201
13:04:30.0	TRIG 1
13:05:00.0	TRIG 1
13:05:02.0	TRIG 2
13:05:15.0	TRIG 2
13:05:18.0	TRIG 4
13:05:19.0	PRINT
13:05:25.3	POWER
13:05:26.3	POWER
13:06:00.0	NEWRUN
13:35:52.0	POWER
13:35:55.0	EXIT
